"時点","地域コード","地域","総人口（総数）【人】","注記"
"1920年","00000","全国","55963053","総務省統計局「国勢調査」による。"
"1925年","00000","全国","59736822","総務省統計局「国勢調査」による。"
"1930年","00000","全国","64450005","総務省統計局「国勢調査」による。"
"1935年","00000","全国","69254148","総務省統計局「国勢調査」による。"
"1940年","00000","全国","73075071","総務省統計局「国勢調査」による。;朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。"
"1945年","00000","全国","71998104","内閣統計局（現 総務省統計局）「人口調査」による。;年齢は数え年である。;沖縄県を除く。"
"1950年","00000","全国","84114574","総務省統計局「国勢調査」による。"
"1951年","00000","全国","84541000","沖縄県を除く。"
"1952年","00000","全国","85808000","沖縄県を除く。"
"1953年","00000","全国","86981000","沖縄県を除く。"
"1954年","00000","全国","88239000","沖縄県を除く。"
"1955年","00000","全国","90076594","総務省統計局「国勢調査」による。"
"1956年","00000","全国","90172000","沖縄県を除く。"
"1957年","00000","全国","90928000","沖縄県を除く。"
"1958年","00000","全国","91767000","沖縄県を除く。"
"1959年","00000","全国","92641000","沖縄県を除く。"
"1960年","00000","全国","94301623","総務省統計局「国勢調査」による。"
"1961年","00000","全国","94287000","沖縄県を除く。"
"1962年","00000","全国","95181000","沖縄県を除く。"
"1963年","00000","全国","96156000","沖縄県を除く。"
"1964年","00000","全国","97182000","沖縄県を除く。"
"1965年","00000","全国","99209137","総務省統計局「国勢調査」による。"
"1966年","00000","全国","99036000","沖縄県を除く。"
"1967年","00000","全国","100196000","沖縄県を除く。"
"1968年","00000","全国","101331000","沖縄県を除く。"
"1969年","00000","全国","102536000","沖縄県を除く。"
"1970年","00000","全国","104665171","総務省統計局「国勢調査」による。"
"1971年","00000","全国","105145000","沖縄県を除く。"
"1972年","00000","全国","107595000",""
"1973年","00000","全国","109104000",""
"1974年","00000","全国","110573000",""
"1975年","00000","全国","111939643","総務省統計局「国勢調査」による。"
"1976年","00000","全国","113094000",""
"1977年","00000","全国","114165000",""
"1978年","00000","全国","115190000",""
"1979年","00000","全国","116155000",""
"1980年","00000","全国","117060396","総務省統計局「国勢調査」による。"
"1981年","00000","全国","117902000",""
"1982年","00000","全国","118728000",""
"1983年","00000","全国","119536000",""
"1984年","00000","全国","120305000",""
"1985年","00000","全国","121048923","総務省統計局「国勢調査」による。"
"1986年","00000","全国","121660000",""
"1987年","00000","全国","122239000",""
"1988年","00000","全国","122745000",""
"1989年","00000","全国","123205000",""
"1990年","00000","全国","123611167","総務省統計局「国勢調査」による。"
"1991年","00000","全国","124101000",""
"1992年","00000","全国","124567000",""
"1993年","00000","全国","124938000",""
"1994年","00000","全国","125265000",""
"1995年","00000","全国","125570246","総務省統計局「国勢調査」による。"
"1996年","00000","全国","125859000",""
"1997年","00000","全国","126157000",""
"1998年","00000","全国","126472000",""
"1999年","00000","全国","126667000",""
"2000年","00000","全国","126925843","総務省統計局「国勢調査」による。"
"2001年","00000","全国","127316000",""
"2002年","00000","全国","127486000",""
"2003年","00000","全国","127694000",""
"2004年","00000","全国","127787000",""
"2005年","00000","全国","127767994","総務省統計局「国勢調査」による。"
"2006年","00000","全国","127901000",""
"2007年","00000","全国","128033000",""
"2008年","00000","全国","128084000",""
"2009年","00000","全国","128032000",""
"2010年","00000","全国","128057352","総務省統計局「国勢調査」による。"
"2011年","00000","全国","127834000",""
"2012年","00000","全国","127593000",""
"2013年","00000","全国","127414000",""
"2014年","00000","全国","127237000",""
"2015年","00000","全国","127094745","総務省統計局「国勢調査」による。"
"2016年","00000","全国","127042000",""
"2017年","00000","全国","126919000",""
"2018年","00000","全国","126749000",""
"2019年","00000","全国","126555000",""
"2020年","00000","全国","126146099","総務省統計局「国勢調査」による。"
"2021年","00000","全国","125502000",""
"2022年","00000","全国","124947000",""
"2023年","00000","全国","124340000","速報"
